Nombre de Comunidad,Código de Provincia,Nombre de Provincia,Población,Número de mesas,Censo electoral sin CERA,Censo CERA,Total censo electoral,Total Votantes CER,Total votantes CERA,Total votantes,Votos válidos,Votos a candidaturas,Votos en blanco,Votos nulos,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados
Castilla - La Mancha          ,45,Toledo                                            ,486194,481,371919,1200,373119,290859,480,291339,288466,286744,1722,2873,135526,3,99167,2,21053,0,23159,0,0,0,0,0,2070,0,0,0,0,0,0,0,0,0,0,0,1520,0,0,0,500,0,0,0,884,0,0,0,0,0,331,0,0,0,0,0,0,0,0,0,0,0,589,0,0,0,1143,0,0,0,202,0,0,0,148,0,0,0,0,0,0,0,0,0,0,0,452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Castilla y León               ,5,Ávila                                             ,182101,310,143404,843,144247,110712,310,111022,109087,108411,676,1935,30282,1,35757,1,4815,0,34402,1,0,0,0,0,682,0,0,0,0,0,1139,0,0,0,0,0,487,0,0,0,156,0,0,0,216,0,0,0,0,0,146,0,0,0,0,0,0,0,0,0,0,0,149,0,0,0,0,0,0,0,70,0,0,0,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Castilla y León               ,9,Burgos                                            ,359198,673,283402,1501,284903,205391,512,205903,203508,201110,2398,2395,65811,2,88446,2,16010,0,21973,0,0,0,0,0,2202,0,0,0,0,0,0,0,0,0,0,0,3544,0,0,0,613,0,0,0,1244,0,0,0,0,0,487,0,0,0,0,0,0,0,0,0,0,0,391,0,0,0,0,0,0,0,389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Castilla y León               ,24,León                                              ,531021,726,414623,4228,418851,287939,1602,289541,285943,283157,2786,3598,114046,3,109792,2,17910,0,28898,0,0,0,0,0,2913,0,0,0,0,0,2385,0,0,0,0,0,1454,0,0,0,713,0,0,0,1819,0,0,0,0,0,514,0,0,0,0,0,0,0,0,0,0,0,372,0,0,0,0,0,0,0,191,0,0,0,325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Castilla y León               ,34,Palencia                                          ,189433,310,147719,1012,148731,113490,350,113840,112752,111711,1041,1088,41313,1,50186,2,6533,0,9696,0,0,0,0,0,0,0,0,0,0,0,1307,0,0,0,0,0,768,0,0,0,398,0,0,0,735,0,0,0,0,0,222,0,0,0,0,0,0,0,0,0,0,0,226,0,0,0,0,0,0,0,145,0,0,0,182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Castilla y León               ,37,Salamanca                                         ,359293,579,286965,2357,289322,217042,957,217999,216198,214321,1877,1801,79966,2,88048,2,12308,0,27068,0,0,0,0,0,0,0,0,0,0,0,2331,0,0,0,0,0,1291,0,0,0,476,0,0,0,1052,0,0,0,0,0,384,0,0,0,0,0,0,0,0,0,0,0,278,0,0,0,0,0,0,0,206,0,0,0,329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Castilla y León               ,40,Segovia                                           ,150595,273,119505,363,119868,90673,125,90798,89537,88307,1230,1261,27468,1,35705,2,6387,0,14764,0,0,0,0,0,616,0,0,0,0,0,802,0,0,0,0,0,967,0,0,0,283,0,0,0,518,0,0,0,0,0,163,0,0,0,0,0,0,0,0,0,0,0,109,0,0,0,0,0,0,0,278,0,0,0,137,0,0,0,0,0,0,0,0,0,0,0,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Castilla y León               ,42,Soria                                             ,97743,237,79136,384,79520,56499,159,56658,55844,55167,677,814,18421,1,26756,2,2872,0,5260,0,0,0,0,0,466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164,0,0,0,539,0,0,0,0,0,117,0,0,0,0,0,0,0,0,0,0,0,106,0,0,0,0,0,0,0,137,0,0,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Castilla y León               ,47,Valladolid                                        ,491093,679,379184,1211,380395,284527,426,284953,282555,279588,2967,2398,101532,2,107695,3,26753,0,32342,0,0,0,0,0,1802,0,0,0,0,0,0,0,0,0,0,0,3311,0,0,0,2264,0,0,0,1386,0,0,0,0,0,493,0,0,0,0,0,0,0,0,0,0,0,541,0,0,0,0,0,0,0,347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Castilla y León               ,49,Zamora                                            ,222006,388,178066,1610,179676,129045,537,129582,128411,127280,1131,1171,48712,1,54821,2,5111,0,14791,0,0,0,0,0,1003,0,0,0,0,0,633,0,0,0,0,0,526,0,0,0,288,0,0,0,462,0,0,0,0,0,171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
